id,audio_path,lyrics,language,label,title,category,lyrics_title,source
bn_audio_2d9a4cf18502,data/audio/03. Ami Tumar Preme.mp3,"নদীর ও পাড়ে
চক্ষু মেইলা দেখি, ভরা দুপুরে।
নদীর ও পাড়ে…
দেখি সখী চুল শুকায় তার নদীর এক পাড়ে,
হায়রে ভরা দুপুরে।
সূর্য সখীর রুপ দেখিয়া মুখ লুকায় মেঘে,
লজ্জায় ভরা দুপুরে।
নদীর ও পাড়ে…
দেখি সখির মুখের হাসি ঠোঁটের এক কোনে
হায়রে ভরা দুপুরে।
স্বপ্ন সখির হাত ধরিয়া ডুব মারে জলে
প্রেমের ভরা দুপুরে।
নদীর ও পাড়ে…",bn,bn,Ami Tumar Preme,ব্যান্ড,Nodi- Daknaam,BanglaSongLyrics.csv
bn_audio_efb0ebde17e0,data/audio/03. Mor Na Mitelo  Asha.mp3,"রংধনু চোখে চোখে,কথা বলি মুখে মুখে।
এখানে মনের কথা বলো না।
কথা হবে মনে মনে, তুমি আমি নিরজনে
যেখানে দিগন্তে, আকাশ আর মাটিতে
দেখা হবে পৃথিবীর প্রান্তে।
সেখানেই হবে যত কথা
এখানে রঙের খেলা,
এখানে শখের মেলা
এখানে মনের কথা বলো না।
এখানে হিসাব গোনা দেনা আর পাওনা
এখানে দেখা হয় কি পেলাম কি দিলাম
সে হিসাব মেটাবার জন্যে।
এখানেই নেই কোন কথা
এখানে সবাই একা
এখানে চোখের দেখা
এখানে মনের কথা বলো না।",bn,bn,Mor Na Mitelo Asha,ছায়াছবি,রংধনু চোখে চোখে,BanglaSongLyrics.csv
bn_audio_49ef0c21a7d1,data/audio/04 - Jani Tumar Premer Jugya.mp3,"প্রভু তোমা লাগি আঁখি জাগে
দেখা নাই পাই, পথ চাই
সেও মনে ভালো লাগে।
ধুলাতে বসিয়া দ্বারে
ভিখারি হৃদয় হা রে
তোমারি করুণা মাগে।
কৃপা নাই পাই, শুধু চাই
সেও মনে ভালো লাগে।
আজি এ জগত-মাঝে
কত সুখে কত কাজে
চলে গেল সবে আগে।
সাথী নাই পাই, তোমায় চাই,
সেও মনে ভালো লাগে।
চারি দিকে সুধাভরা
ব্যাকুল শ্যামল ধরা
কাঁদায় রে অনুরাগে।
দেখা নাই নাই, ব্যথা পাই,
সেও মনে ভালো লাগে।",bn,bn,Jani Tumar Premer Jugya,রবীন্দ্র সংগীত,প্রভু  তোমা লাগি আঁখি জাগে,BanglaSongLyrics.csv
bn_audio_e2717665e4be,data/audio/04 - Miles - Tumi Ki Sukhi (MyTuneBD.Com).mp3,"তোমার  সুরের ধারা ঝরে যেথায় তারি পারে
           দেবে কি গো বাসা আমায় একটি ধারে?।
           আমি     শুনব ধ্বনি কানে,
           আমি     ভরব ধ্বনি প্রাণে,
           সেই ধ্বনিতে চিত্তবীণায় তার বাঁধিব বারে বারে ॥
আমার    নীরব বেলা সেই তোমারি সুরে সুরে
           ফুলের ভিতর মধুর মতো উঠবে পুরে।
           আমার    দিন ফুরাবে যবে,
           যখন      রাত্রি আঁধার হবে,
           হৃদয়ে মোর গানের তারা উঠবে ফুটে সারে সারে ॥",bn,bn,Tumi Ki Sukhi,রবীন্দ্র সংগীত,তোমার সুরের ধারা ঝরে যেথায়,BanglaSongLyrics.csv
bn_audio_d6e1cf908048,data/audio/04. Era Sukher Lagi.mp3,"আলোকের এই ঝর্নাধারায় ধুইয়ে দাও।
             আপনাকে এই লুকিয়ে-রাখা ধুলার ঢাকা ধুইয়ে দাও॥
     যে জন   আমার মাঝে জড়িয়ে আছে ঘুমের জালে
     আজ     এই সকালে ধীরে ধীরে তার কপালে
     এই      অরুণ-আলোর সোনার-কাঠি ছুঁইয়ে দাও।
            বিশ্বহৃদয়-হতে-ধাওয়া  আলোয়-পাগল প্রভাত-হাওয়া,
             সেই হাওয়াতে হৃদয় আমার নুইয়ে দাও॥
     আজ     নিখিলের আনন্দধারায় ধুইয়ে দাও,
             মনের কোণের সব দীনতা মলিনতা ধুইয়ে দাও।
     আমার    পরান-বীণায় ঘুমিয়ে আছে অমৃতগান–
     তার     নাইকো বাণী, নাইকো ছন্দ, নাইকো তান।
     তারে    আনন্দের এই জাগরণী ছুঁইয়ে দাও।
            বিশ্বহৃদয়-হতে-ধাওয়া   প্রাণে-পাগল গানের হাওয়া,
            সেই হাওয়াতে হৃদয় আমার নুইয়ে দাও॥",bn,bn,Era Sukher Lagi,রবীন্দ্র সংগীত,আলোকের এই ঝর্নাধারায় ধুইয়ে দাও,BanglaSongLyrics.csv
bn_audio_94f07512e858,data/audio/04. Sedino Bolechhile.mp3,"নয় এ মধুর খেলা
তোমায় আমায় সারাজীবন সকাল-সন্ধ্যাবেলা নয় এ মধুর খেলা।।
কতবার যে নিবল বাতি, গর্জে এল ঝড়ের রাতি
সংসারের এই দোলায় দিলে সংশয়েরই ঠেলা।।
বারে বারে বাঁধ ভাঙিয়া বন্যা ছুটেছে।
দারুণ দিনে দিকে দিকে কান্না উঠেছে।
ওগো রুদ্র, দুঃখে সুখে   এই কথাটি বাজল বুকে
তোমার প্রেমে আঘাত আছে, নাইকো অবহেলা।।",bn,bn,Sedino Bolechhile,রবীন্দ্র সংগীত,নয় এ মধুর খেলা,BanglaSongLyrics.csv
bn_audio_a51d0895a043,data/audio/05 - Jadi Kagoje Likho Nam.mp3,"প্রতিদিন তোমায় দেখে সূর্য রাগে
প্রতিদিন তোমার কথা হৃদয়ে জাগে
ও আমার দেশ ও আমার বাংলাদেশ।।
নদীর ধারা আর পাখির গানে
নতুন স্বপ্নের ছবি আনে।
প্রতি প্রানে প্রেরণা শিহর লাগে।।
ফসল শোভায় আলোর তৃষা
নতুন ছন্দের দিল  দিশা।
প্রতি মনের চেতনার জোয়ার জাগে।।",bn,bn,Jadi Kagoje Likho Nam,দেশাত্মবোধক গান,প্রতিদিন তোমায় দেখে সূর্য রাগে,BanglaSongLyrics.csv
bn_audio_7228eb2de33f,data/audio/05 - Miles - Hello Dhaka (MyTuneBD.Com).mp3,"ভুবনেশ্বর হে
মোচন কর’ বন্ধন সব মোচন কর’ হে।।
প্রভু, মোচন কর’ ভয়, সব দৈন্য করহ লয়
নিত্য চকিত চঞ্চল চিত কর’ নিঃসংশয়।
তিমিররাত্রি, অন্ধ যাত্রী,
সম্মুখে তব দীপ্ত দীপ তুলিয়া ধর’ হে।।
ভুবনেশ্বর হে,
মোচন কর’ জড়বিষাদ মোচন কর’ হে।
প্রভু, তব প্রসন্ন মুখ
সব দুঃখ করুক সুখ
ধূলিপতিত দুর্বল চিত করহ জাগরূক।
তিমিররাত্রি, অন্ধ যাত্রী
সম্মুখে তব দীপ্ত দীপ তুলিয়া ধর’ হে।।
ভুবনেশ্বর হে,
মোচন কর’ স্বার্থপাশ মোচন কর’ হে।
প্রভু, বিরস বিকল প্রাণ
কর’ প্রেমসলিল দান
ক্ষতিপীড়িত শঙ্কিত চিত কর’ সম্পদবান।
তিমিররাত্রি, অন্ধ যাত্রী,
সম্মুখে তব দীপ্ত দীপ তুলিয়া ধর’ হে।।",bn,bn,Hello Dhaka,রবীন্দ্র সংগীত,ভুবনেশ্বর হে,BanglaSongLyrics.csv
bn_audio_36d8657711cc,data/audio/05. Katobar Bhebechhinu.mp3,"আমার না যদি থাকে সুর
তোমার আছে তুমি তা দেবে
তোমার গন্ধহারা ফুল
আমার কাছে সুরভি নেবে
এরই নাম প্রেম
জীবনে যা গৌরব হয়
মরণেও নেই পরাজয় ।।
চোখের স্মৃতির মণিদীপ
মনের আলোয় কভু কি নেভে
এরই নাম প্রেম ।।
দুজনেই দুজনাতে মুগ্ধ
দুজনের বুকে কত সুন্দর
দুজনার গীতালীর ছন্দে
তন্ময় দুজনার অন্তর
এর কাছে স্বর্গ-সুধার
বেশী আছে মূল্য কি আর
আমার দেবতা সেও তাই
প্রেমের কাঙাল পেয়েছি ভেবে
এরই নাম প্রেম",bn,bn,Katobar Bhebechhinu,আধুনিক,আমার না যদি থাকে সুর,BanglaSongLyrics.csv
bn_audio_318b6e37a226,data/audio/05. Rum Jhum Jhum.mp3,"এসো ওয়াদা করি
তুমি আমি দু’জনে
ভালোবাসা জেগে রবে দুটি জীবনে ।।
নয়নে তোমার ছবি মনে বাসনা
প্রেমলতা হয়ে হায় জড়িয়ে রাখো না
আকাশে তারা যতদিন থাকবে
ততদিন আমায় মনে রাখবে
দু’চোখে তারা হয়ে তুমি জ্বলবে
পৃথিবীটা যতদিন থাকবে
বন্ধু তুমি সাথী তুমি
জনমে জনমে মিশে রবো দু’জনে
জীবনে মরণ আসে স্মৃতি জেগে রয়
ইতিহাস হয়ে প্রেম কথা কয়
ফুল ফোটে ঝরে যায় আবার হাসে
চিরদিন তুমি রবে পাশে
তুমি আমার আমি তোমার
জীবনে মরণে ওগো রেখো স্মরণে",bn,bn,Rum Jhum Jhum,ছায়াছবি,এসো ওয়াদা করি তুমি আমি দুজনে,BanglaSongLyrics.csv
bn_audio_dda3660755a5,data/audio/06 - Ka'Phoonta Chukher Jal.mp3,"সন্ধ্যার ও ছায়া নামে এলো মেলো হাওয়া,
ভালো লাগে জীবনের এই গান গাওয়া।
সন্ধ্যার ও ছায়া নামে এলো মেলো হাওয়া,
একটি দুটি তারা জ্বলে আকাশের ও কোলে,
ভিরু ভিরু চোখে কোন স্বপ্ন যে দোলে।
একটি দুটি তারা জ্বলে আকাশের ও কোলে,
ভিরু ভিরু চোখে কোন স্বপ্ন যে দোলে। 
সাত রঙ্গা সেই রঙে মন হলে চাওয়া,
এই মন কখন ও কি যায় ফিরে পাওয়া।
সন্ধ্যার ও ছায়া নামে এলো মেলো হাওয়া,
ভালো লাগে জীবনের এই গান গাওয়া।
সন্ধ্যার ও ছায়া নামে এলো মেলো হাওয়া,
আধারের ও শেষে যানি আছে শুধু আলো,
অচেনাকে চিনে নিতে তাই লাগে ভালো।
 আধারের ও শেষে যানি আছে শুধু আলো,
অচেনাকে চিনে নিতে তাই লাগে ভালো। 
সে চেনায় হয় যদি আরো কিছু পাওয়া,
এ মনের সাধ্য কি আর পিছু ফিরে যাওয়া। 
সন্ধ্যার ও ছায়া নামে এলো মেলো হাওয়া,
ভালো লাগে জীবনের এই গান গাওয়া।
সন্ধ্যার ও ছায়া নামে এলো মেলো হাওয়া,",bn,bn,Ka'Phoonta Chukher Jal,ছায়াছবি,"সন্ধ্যার ও ছায়া নামে,",BanglaSongLyrics.csv
bn_audio_0caa7471b670,data/audio/06 - Miles - Priotoma (MyTuneBD.Com).mp3,"ওরে আমার সাধের বীণা,
ওরে আমার সাধের গান।।
তোর ওই কোমল সুরে ব্যথা ঝরে
আকুল করে আমার প্রাণ।।
ও তোর শত তানে একই কথা
শত লয়ে একই ব্যথা
শুধু নিরাশার কাতরতা
হতাশার অপমান।
পার যদি জাগো বীণা
ধরো আরও উচ্চতান
গাইব আমি নূতন গানে
নূতন প্রাণে কম্পমান।
যখন বীণার সুরে গলা সেধে
গাইতে যাই রে ফেলি কেঁদে
শুধু) মিশে যায় সে মনের খেদে
আঁখির জলে অবসান;
কোথায় আনন্দেতে উঠব নেচে
মরা মানুষ উঠবে বেঁচে
আমি পাই না সুধাসাগর ছেঁচে
ভাগ্যে শুধুই বিষপান!
পার যদি জাগো বীণা
ধরো আরও উচ্চতান
গাইব আমি নূতন গানে
নূতন প্রাণে কম্পমান।
বীণা পার যদি জাগো তবে
বেজে ওঠো উচ্চরবে
আজ নূতন সুরে গাইতে হবে
আমি সঙ্গে ধরি তান
ছেড়ে লোকলজ্জা, সমাজ-ভয়
যাতে, সবাই আবার মানুষ হয়
এমনি গাইতে পারি দয়াময়
কর এই বরদান।
পার যদি জাগো বীণা
ধরো আরও উচ্চতান
গাইব আমি নূতন গানে
নূতন প্রাণে কম্পমান।",bn,bn,Priotoma,বিবিধ,ওরে আমার সাধের বীণা,BanglaSongLyrics.csv
bn_audio_422a9ee83a39,data/audio/06. Amar Hiar Majhe.mp3,"সবাই বল মা
মায়ের দাম কী হয়
পৃথিবীতে মায়ের নেই তুলনা
মাগো তোমার নেই তুলনা
প্রতিরাতে আদর করে ঘুম পারায় কে
কচি মুখে চুমু খেয়ে ঘুম ভাঙ্গায় কে।
সেই মায়েরই বড় হয়ে ভুলে যেয়ো না
না না না ………।।
রুগ্ন শিশুর পাশে বসে প্রহর গুনে কে
ভাল মন্দ কিছু হলে আগে জানে কে।
সে মায়েরই ভুলেও কভু দুঃখ দিও না
না না না……….।।",bn,bn,Amar Hiar Majhe,ছায়াছবি,সবাই বল মা,BanglaSongLyrics.csv
bn_audio_704c9fcb2a18,data/audio/06. Gother Raakhal Bole De.mp3,"বর্ষা আমার চোখের প্রিয় ঋতু
তাইতো সদাই তোমায় ঘিরে
হচ্ছি আমি ভীতু
কষ্ট আমার ভালোবাসার কাঁথা
না হলে কি তোমায় চেয়ে
পেতাম শুধু ব্যথা
ইচ্ছে করলে নিতে পারো
আমার দেয়া নাম
এর বদলে নাইবা দিলে
ভালোবাসার দাম।
মেঘে মেঘে কাটলো যখন বেলা
তখন দেখি চারিদিকে
তোমার অবহেলা
সূর্য যখন কপাল জুড়ে টিপ
ভালোবাসা বন্দী শিবির
দূরের নিঝুম দ্বীপ।
ছোট্ট জীবন যখন ছিল বিশাল
তুমি সে তো ভেঙেছিলে
আমার মনের দেয়াল
হৃদয় যখন হারায় সুখের বলয়
চাওয়া পাওয়ার হিসেব কষা
শুধুই ব্যর্থ সময়।",bn,bn,Gother Raakhal Bole De,ব্যান্ড,বর্ষা আমার চোখের প্রিয় ঋতু,BanglaSongLyrics.csv
bn_audio_4b16e59b6d9c,data/audio/07 - Katodin Dekheni Tumai.mp3,"যদি সুন্দর একটা মুখ পাইতাম
যদি সুন্দর একটা মন পাইতাম
সদর ঘাটের পানের খিলি তারে
বানাই খাবাইতাম।।
এক দিন তারে কাছে পেলে
রসের পিড়িত শিখাইতাম
আমি রসের পিড়িত শিখাইতাম
সদর ঘাটের পানের খিলি তারে
বানাই খাওয়াইতাম।
নতুন মুখের নতুন কথা শুনিতে সুন্দর
মাঝে মাঝে পান চিবাইত হাসিরও ভিতর।
প্রেমের মালা দুটি হাতে তারই গলায় পরাইতাম
আমি তারই গলায় পরাইতাম
সদর ঘাটের পানের খিলি তারে বানাই খাওয়াইতাম।
রসের কথা রসের পিড়িত যদি সে না জানে
দু’ চার কথা কইতাম তারে প্রেমের কারণে।
নর-নারীর সাধের পিড়িত
নর-নারীর রসের পিড়িত কি মজা তারে বুঝাইতাম
আমি কি মজা তারে শিখাইতাম
সদর ঘাটের পানের খিলি তারে বানাই খাওয়াইতাম।।",bn,bn,Katodin Dekheni Tumai,ছায়াছবি,যদি সুন্দর একটা মুখ পাইতাম,BanglaSongLyrics.csv
bn_audio_0167d4a10ec5,data/audio/07 - Miles - Bismoy Jatra (MyTuneBD.Com).mp3,"আজ আকাশের মনের কথা ঝরো ঝরো বাজে
সারা প্রহর আমার বুকের মাঝে।।
দিঘির কালো জলের ‘পরে   মেঘের ছায়া ঘনিয়ে ধরে,
বাতাস বহে যুগান্তরের প্রাচীন বেদনা যে
সারা প্রহর আমার বুকের মাঝে।।
আঁধার বাতায়নে
একলা আমার কানাকানি ওই আকাশের সনে।
ম্লানস্মৃতির বাণী যত  পল্লবমর্মরের মতো
সজল সুরে ওঠে জেগে ঝিল্লিমুখর সাঁঝে
সারা প্রহর আমার বুকের মাঝে।।",bn,bn,Bismoy Jatra,রবীন্দ্র সংগীত,আজ আকাশের মনের কথা ঝরো ঝরো বাজে,BanglaSongLyrics.csv
bn_audio_4372f9fcb04f,data/audio/07. Bulbuli Nirob Nargis.mp3,"বসে আছি হে কবে শুনিব তোমার বাণী।
কবে বাহির হইব জগতে মম জীবন ধন্য মানি।।
কবে প্রাণ জাগিবে, তব প্রেম গাহিবে
দ্বারে দ্বারে ফিরি সবার হৃদয় চাহিবে
নরনারীমন করিয়া হরণ চরণে দিবে আনি।।
কেহ শুনে না গান, জাগে না প্রাণ
বিফলে গীত-অবসান
তোমার বচন করিব রচন সাধ্য নাহি নাহি।
তুমি না কহিলে কেমনে কব প্রবল অজেয় বাণী তব
তুমি যা বলিবে তাই বলিব– আমি কিছুই না জানি।
তব নামে আমি সবারে ডাকিব, হৃদয়ে লইব টানি।।",bn,bn,Bulbuli Nirob Nargis,রবীন্দ্র সংগীত,বসে আছি হে কবে শুনিব তোমার বাণী,BanglaSongLyrics.csv
bn_audio_c85e14c1e623,data/audio/07. Madhur Bashanto.mp3,"স্বাদের লাউ বানাইলো মোরে বৈরাগী
স্বাদের লাউ বানাইলো মোরে বৈরাগী।
লাউয়ের আগা খাইলাম ডুগা খাইলাম, আগা খাইলাম রে
লাউয়ের আগা খাইলাম ডুগা গো খাইলাম
লাউ দিয়া খাই তরকারি
আমি লাউ দিয়া বানাই কি বানাই, কি বানাই ডুগডুগি।।
আমি গয়া যাব কাশি যাব, গয়া যাব রে।
সঙ্গে নেই মোর,
আমি গয়া যাব কাশি যাব।
সঙ্গে নেই মোর বৈষ্ণবী,
আরে সঙ্গে নেই মোর বৈষ্ণবী।।
কাউ কাটিয়া কুনবা করলাম সার
দুই মোড়া দুই বাঁশের কঞ্চি, মধ্যে ত্তলার দার",bn,bn,Madhur Bashanto,পপ সঙ্গীত,স্বাদের লাউ বানাইলো মোরে বৈরাগী,BanglaSongLyrics.csv
bn_audio_3b2c2aab0b15,data/audio/08 - Ei To Sedin Tumi.mp3,"নীচুর কাছে নীচু হতে শিখলি না রে মন,
তুই সুখি জনের করিস পূজা, দুঃখীর অযতন
মূঢ় মন, সুখি জনের করিস পূজা, দুঃখীর অযতন।।
লাগে নি যার পায়ে ধুলি, কি নিবি তার চরণ ধুলি,
নয়রে সোনায়, বনের কাঠেই হয় রে চন্দন।। 
প্রেমধন মায়ের মতন, দুখ কি সুতেই অধিক যতন,
এ ধনেতে ধনি যে জন, সেই তো মহাজন।
মূঢ় মন, সেই তো মহাজন।। 
বৃথা তোর কৃচ্ছসাধন, সেবাই নরের শ্রেষ্ঠ সাধন,
মানবের পরম তীর্থ দীনের শ্রীচরণ।
মূঢ় মন, দীনের শ্রীচরণ। 
মতামতের তর্কে মত্ত, আছিস ভুলে পরম সত্য,
সকল ঘরে সকল নরে আছেন নারায়ণ
মূঢ় মন, আছেন নারায়ণ
নীচুর কাছে নীচু হতে শিখলি না রে মন।।",bn,bn,Ei To Sedin Tumi,ভক্তিমূলক গান,নীচুর কাছে নীচু হতে শিখলি না রে মন,BanglaSongLyrics.csv
